priority,issue_type,reporter,vote_count,comment_count,description_length,summary_length,watch_count,duration
Minor,Short,Other,0.0,1.3862943611198906,6.030685260261263,62,1.0986122886681098,8.203295216646062
Major,Short,tomwhite,0.0,2.8903717578961645,4.890349128221754,50,1.3862943611198906,9.345975178997785
Major,Short,Other,0.0,1.3862943611198906,7.239214973779806,52,1.0986122886681098,9.080487045062664
Minor,Short,Other,0.0,0.6931471805599453,6.523562306149512,69,1.0986122886681098,3.121750932802491
Minor,Short,lmartinking,0.0,1.0986122886681098,6.077642243349034,38,1.0986122886681098,7.0068032976879975
Major,Short,jbaldassari,0.0,2.1972245773362196,5.805134968916488,67,1.6094379124341003,11.82580372807371
Major,Short,jbaldassari,0.0,2.3978952727983707,8.449984441722787,85,1.6094379124341003,11.701537411270278
Major,Short,Other,0.0,1.791759469228055,5.521460917862246,40,1.3862943611198906,9.575053442607782
Major,Short,Other,0.0,1.791759469228055,0.0,67,1.6094379124341003,12.114898251287299
Major,Long,tomwhite,0.0,3.6375861597263857,4.465908118654584,24,2.0794415416798357,11.140393537150818
Major,Short,cutting,0.0,1.3862943611198906,4.969813299576001,35,0.6931471805599453,8.651449679012519
Major,Short,Other,0.0,2.70805020110221,4.882801922586371,95,1.791759469228055,11.041806275051336
Minor,Short,Other,0.0,2.3978952727983707,6.626717749249025,71,1.791759469228055,12.156025743196045
Major,Short,Other,0.0,1.9459101490553132,6.70808408385307,42,1.0986122886681098,9.54718104904821
Major,Short,cutting,0.0,2.0794415416798357,5.857933154483459,40,1.0986122886681098,10.85475720972162
Major,Short,Other,0.0,2.3978952727983707,5.501258210544727,54,1.791759469228055,13.041750100487116
Major,Short,Other,0.6931471805599453,2.8903717578961645,6.249975242259483,72,2.302585092994046,13.069878168899104
Major,Short,tomwhite,0.0,2.1972245773362196,5.272999558563747,84,1.6094379124341003,7.151738057392164
Major,Short,Other,0.0,1.9459101490553132,6.775366090936392,57,1.3862943611198906,8.380615242749037
Major,Short,vnadkarni,0.0,1.6094379124341003,7.317212408359839,56,1.0986122886681098,8.44658837143811
Trivial,Short,vnadkarni,0.0,1.3862943611198906,6.169610732491456,55,1.0986122886681098,8.451269775754781
Major,Short,mpugachev,0.0,1.6094379124341003,4.31748811353631,44,1.3862943611198906,11.614657363602996
Major,Short,Other,0.0,1.9459101490553132,6.028278520230698,80,1.0986122886681098,4.983929172422987
Major,Short,lmartinking,0.0,2.0794415416798357,7.195937226475569,43,1.3862943611198906,8.821926968687348
Major,Short,lmartinking,0.0,1.0986122886681098,5.54907608489522,52,1.0986122886681098,7.012504242680177
Major,Short,lmartinking,0.0,1.3862943611198906,5.231108616854587,52,1.0986122886681098,7.01819633182677
Minor,Short,Other,0.0,2.5649493574615367,5.755742213586912,74,1.3862943611198906,11.184786057196389
Major,Short,Other,0.0,1.9459101490553132,5.6131281063880705,47,1.3862943611198906,8.172045420270294
Major,Short,Other,0.0,2.302585092994046,7.261927092702751,84,1.0986122886681098,7.962813720014931
Major,Short,cutting,0.0,0.6931471805599453,5.25227342804663,38,0.6931471805599453,1.945445755527043
Minor,Short,Other,0.0,1.9459101490553132,4.897839799950911,73,1.0986122886681098,7.467150623574092
Minor,Short,Other,0.0,2.302585092994046,5.68697535633982,48,1.0986122886681098,9.574646350036593
Major,Short,Other,0.0,1.3862943611198906,5.929589143389895,55,1.0986122886681098,8.678502821839878
Major,Short,Other,0.0,1.3862943611198906,6.610696044717759,55,1.3862943611198906,12.334603291634284
Major,Short,Other,0.0,2.3978952727983707,6.186208623900494,75,1.0986122886681098,8.915183714282398
Major,Short,Other,0.0,2.5649493574615367,6.369900982828227,86,1.0986122886681098,9.556850235262992
Major,Short,Other,0.0,1.791759469228055,8.09712193091871,82,1.0986122886681098,5.48913061388874
Major,Short,Other,0.0,1.6094379124341003,5.181783550292085,53,1.3862943611198906,9.713129556898709
Major,Short,Other,0.0,1.6094379124341003,5.908082938168931,73,1.0986122886681098,10.46367745515998
Major,Short,Other,0.0,1.3862943611198906,5.293304824724492,43,1.0986122886681098,9.004394505752776
Major,Short,Other,0.0,1.3862943611198906,5.886104031450156,42,1.0986122886681098,8.76754967323513
Minor,Short,Other,0.0,1.9459101490553132,5.236441962829949,46,1.0986122886681098,6.112025572427388
Major,Short,mpugachev,0.0,1.3862943611198906,5.655991810819852,61,1.0986122886681098,10.71608704140797
Minor,Short,Other,0.0,1.3862943611198906,6.408528791059498,35,1.0986122886681098,7.124601496982405
Major,Short,thiru_mg,0.0,1.3862943611198906,5.973809611869261,30,0.6931471805599453,9.993397854967029
Major,Short,Other,0.6931471805599453,1.6094379124341003,9.372714290960442,55,1.3862943611198906,12.099838172805322
Minor,Short,Other,0.0,1.0986122886681098,6.504288173536645,73,1.0986122886681098,7.611589326016977
Major,Short,mpugachev,0.0,1.3862943611198906,5.564520407322694,23,1.0986122886681098,11.305504907021254
Critical,Short,Other,0.0,1.6094379124341003,7.202661196523238,72,1.0986122886681098,8.079742334963871
Major,Short,cutting,0.0,1.0986122886681098,5.717027701406222,51,0.6931471805599453,3.2614026054146374
Major,Short,Other,0.0,1.6094379124341003,5.298317366548036,61,1.3862943611198906,10.830540599376494
Major,Short,Other,0.0,1.6094379124341003,4.836281906951478,107,1.0986122886681098,9.672501109325156
Major,Short,Other,0.0,2.4849066497880004,6.249975242259483,27,1.0986122886681098,10.019849887623357
Major,Short,Other,0.0,1.6094379124341003,7.344072850573066,96,1.3862943611198906,5.361741047732416
Major,Short,lmartinking,0.0,1.9459101490553132,5.153291594497779,83,1.0986122886681098,8.713099708910764
Major,Short,thiru_mg,0.0,1.3862943611198906,5.53338948872752,43,0.6931471805599453,10.196413935147973
Critical,Short,mpugachev,0.0,1.791759469228055,6.345636360828596,50,1.0986122886681098,9.473187267394515
Major,Short,cutting,0.0,0.6931471805599453,4.499809670330265,52,0.6931471805599453,0.5500944126866907
Minor,Short,Other,0.0,2.1972245773362196,4.852030263919617,54,1.3862943611198906,9.174778694778505
Major,Short,Other,0.0,2.0794415416798357,6.648984550024776,53,2.302585092994046,11.821536595987581
Major,Short,Other,0.0,1.3862943611198906,5.4638318050256105,59,1.3862943611198906,9.668776643007332
Major,Short,Other,0.0,1.6094379124341003,5.62040086571715,49,1.0986122886681098,10.848025130944922
Major,Long,Other,0.0,1.9459101490553132,4.804021044733257,45,1.0986122886681098,9.90302020417923
Major,Long,Other,0.0,2.1972245773362196,3.9318256327243257,43,1.3862943611198906,9.717813352910673
Major,Long,lmartinking,0.6931471805599453,1.791759469228055,4.912654885736052,15,1.6094379124341003,10.349786432161865
Major,Short,Other,0.0,2.3978952727983707,7.374629015218945,58,1.6094379124341003,11.47898580584433
Major,Short,mpugachev,0.0,1.0986122886681098,4.356708826689592,45,1.0986122886681098,9.87190078347589
Critical,Short,mpugachev,0.0,2.3978952727983707,4.820281565605037,78,1.3862943611198906,11.993485200089992
Major,Short,Other,0.0,2.4849066497880004,7.114769448366463,29,1.0986122886681098,10.099069629274565
Major,Short,cutting,0.0,1.3862943611198906,5.579729825986222,52,1.0986122886681098,7.958701021985045
Major,Short,thiru_mg,0.0,1.6094379124341003,6.364750756851911,43,1.3862943611198906,8.234773563537486
Major,Short,dcreager,0.0,1.6094379124341003,5.765191102784844,41,1.0986122886681098,1.6470676170144538
Minor,Short,thiru_mg,0.0,0.6931471805599453,4.727387818712341,114,0.6931471805599453,7.729171399511585
Major,Short,Other,0.0,2.302585092994046,5.834810737062605,48,1.0986122886681098,7.409880826600723
Major,Short,Other,0.0,0.6931471805599453,7.828834527588089,72,0.6931471805599453,7.424262183665831
Critical,Short,mpugachev,0.0,2.1972245773362196,5.176149732573829,56,1.3862943611198906,8.697080643735612
Minor,Short,vnadkarni,0.0,1.3862943611198906,5.796057750765372,60,1.0986122886681098,8.854593261752308
Major,Short,Other,0.0,2.4849066497880004,7.6128310304073565,88,1.3862943611198906,8.484976454126137
Major,Short,vnadkarni,0.0,1.3862943611198906,7.00397413672268,63,0.6931471805599453,12.577485523772188
Major,Short,vnadkarni,0.0,1.9459101490553132,7.465082736399547,64,1.0986122886681098,9.105146866445462
Blocker,Short,mpugachev,0.0,1.6094379124341003,6.726233402358747,64,0.6931471805599453,9.475944208998477
Critical,Short,mpugachev,0.0,1.0986122886681098,5.288267030694535,58,0.6931471805599453,9.36975278741849
Major,Long,Other,0.0,1.0986122886681098,4.605170185988092,21,0.6931471805599453,8.829973972039197
Major,Short,mpugachev,0.0,1.3862943611198906,5.087596335232384,68,0.6931471805599453,9.48861371583181
Major,Short,mpugachev,0.0,1.791759469228055,3.828641396489095,29,0.6931471805599453,9.493637853643097
Major,Short,mpugachev,0.0,1.0986122886681098,4.990432586778736,39,1.0986122886681098,9.49907627020847
