vote_count,comment_count,description_length,summary_length,watch_count,priority_Critical,priority_Major,priority_Minor,priority_Trivial,issue_type_Short,reporter_brucem,reporter_cutting,reporter_dcreager,reporter_hammer,reporter_jbaldassari,reporter_jmhodges,reporter_lmartinking,reporter_massie,reporter_mpugachev,reporter_philip,reporter_phunt,reporter_pwendell,reporter_sbanacho,reporter_scott_carey,reporter_sharadag,reporter_thiru_mg,reporter_tomwhite,reporter_vnadkarni,duration
0.0,1.0986122886681098,3.737669618283368,43,1.0986122886681098,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.3978952727983707
0.0,1.9459101490553128,6.2709884318582985,55,1.9459101490553128,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.910264536815152
0.0,2.079441541679836,5.634789603169249,40,1.791759469228055,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.627949141539009
0.0,1.6094379124341005,6.933423025730715,45,1.3862943611198906,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.470793774195062
1.9459101490553128,1.6094379124341005,7.139660335964919,45,1.6094379124341005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84802769533176
1.9459101490553128,1.6094379124341005,7.2513449833722134,43,1.6094379124341005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.159330600013352
0.0,1.6094379124341005,6.139884552226255,49,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11062366570452
0.0,1.9459101490553128,6.439350371100098,44,1.6094379124341005,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.257002707092072
0.0,1.6094379124341005,6.1092475827643655,69,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.423568444259168
0.0,2.19722457733622,5.14166355650266,59,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.368461137615839
0.0,2.19722457733622,5.087596335232384,46,1.0986122886681098,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.905441649060286
0.0,1.3862943611198906,5.4638318050256105,32,1.0986122886681098,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.381831553485561
0.0,1.791759469228055,4.787491742782046,49,1.0986122886681098,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.984145455553582
0.0,1.6094379124341005,5.7071102647488745,45,1.0986122886681098,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.329180034324262
0.0,1.6094379124341005,6.728628613084703,51,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26122509197192
0.0,2.079441541679836,6.052089168924417,41,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4115562878111625
0.0,2.079441541679836,7.0958932210975325,51,1.6094379124341005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7157161275482
0.0,2.079441541679836,5.147494476813453,72,1.6094379124341005,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55159461813357
0.0,1.6094379124341005,6.684611727667928,115,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.788745881938134
0.0,1.791759469228055,5.402677381872278,60,1.0986122886681098,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.097395612960046
0.0,1.791759469228055,5.068904202220232,41,1.3862943611198906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.574983485564092
0.0,1.6094379124341005,5.948034989180646,56,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.461565907417347
0.0,0.0,5.247024072160486,40,0.6931471805599453,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9444389791664403
0.0,1.9459101490553128,5.231108616854587,61,1.6094379124341005,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.518857833623334
0.0,3.0910424533583165,6.3332796281396915,51,1.3862943611198906,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.768716542159837
0.0,0.6931471805599453,7.652545692693922,45,1.0986122886681098,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84418708645859
0.0,0.0,4.941642422609304,54,0.6931471805599453,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.846438775057725
0.0,1.6094379124341005,5.017279836814924,47,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.025865973825314
0.0,1.6094379124341005,6.089044875446847,41,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.118097198041347
0.0,1.9459101490553128,6.565264970035361,75,1.3862943611198906,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.043425116919247
0.0,2.079441541679836,5.746203190540153,37,1.3862943611198906,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.898638793680181
