priority,issue_type,reporter,vote_count,comment_count,description_length,summary_length,watch_count,duration
Major,Long,Other,0.0,2.302585092994046,7.463936604468925,24,1.0986122886681098,9.092232283495854
Minor,Short,Other,0.0,2.1972245773362196,6.813444599510896,70,1.0986122886681098,10.346376889290292
Major,Short,Other,0.0,1.791759469228055,5.655991810819852,80,1.791759469228055,12.725315742755171
Major,Short,Other,0.0,1.791759469228055,6.261491684321042,78,1.6094379124341003,12.169896094211008
Trivial,Short,Other,0.0,1.3862943611198906,4.574710978503383,27,1.3862943611198906,11.030784475064147
Major,Short,Other,0.0,1.3862943611198906,7.2875606403097235,44,1.0986122886681098,11.342813072082706
Major,Short,Other,0.0,2.70805020110221,5.8998973535824915,112,1.3862943611198906,11.399308738183262
Minor,Short,Other,0.0,1.3862943611198906,4.727387818712341,31,1.3862943611198906,11.43356835555382
Major,Short,Other,1.0986122886681098,2.0794415416798357,7.683403681053826,47,1.791759469228055,12.87776378265451
Minor,Short,Other,0.0,1.3862943611198906,6.030685260261263,62,1.0986122886681098,8.20303024171486
Major,Short,tomwhite,0.0,2.8903717578961645,4.890349128221754,50,1.3862943611198906,9.345919666218006
Major,Short,Other,0.0,1.3862943611198906,7.239214973779806,52,1.0986122886681098,9.080459451121662
Minor,Short,Other,0.0,0.6931471805599453,6.523562306149512,69,1.0986122886681098,3.091042453358316
Minor,Short,lmartinking,0.0,1.0986122886681098,6.077642243349034,38,1.0986122886681098,7.00669522683704
Major,Short,jbaldassari,0.0,2.1972245773362196,5.805134968916488,67,1.6094379124341003,11.825800025054033
Major,Short,jbaldassari,0.0,2.3978952727983707,8.449984441722787,85,1.6094379124341003,11.701535540849058
Major,Short,Other,0.0,1.791759469228055,5.521460917862246,40,1.3862943611198906,9.575052927597383
Major,Short,Other,0.0,1.791759469228055,0.0,67,1.6094379124341003,12.114894417443708
Major,Long,tomwhite,0.0,3.6375861597263857,4.465908118654584,24,2.0794415416798357,11.140382429004244
Major,Short,cutting,0.0,1.3862943611198906,4.969813299576001,35,0.6931471805599453,8.651374372882257
Major,Short,Other,0.0,2.70805020110221,4.882801922586371,95,1.791759469228055,11.041801208055789
