description_length,summary_length,issue_number,num_components,component_java,num_affected_versions,num_labels,created_weekday,created_month,priority_Critical,priority_Major,priority_Minor,priority_Trivial,issue_type_Short,reporter_brucem,reporter_cutting,reporter_dcreager,reporter_hammer,reporter_jbaldassari,reporter_jmhodges,reporter_lmartinking,reporter_massie,reporter_mpugachev,reporter_philip,reporter_phunt,reporter_pwendell,reporter_sbanacho,reporter_scott_carey,reporter_sharadag,reporter_thiru_mg,reporter_tomwhite,reporter_vnadkarni,duration
3.737669618283368,43,1349,0,0,0,0,3,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.460037459108636
6.270988431858299,55,1346,1,0,1,0,3,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.910304596931818
5.634789603169249,40,1337,0,0,1,0,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.627950072994144
6.933423025730715,45,1326,1,1,1,0,2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.470970865574961
7.13966033596492,45,1330,1,1,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.848031852080164
7.251344983372214,43,1328,1,1,0,1,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.159357513695026
6.139884552226255,49,1324,1,0,3,0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.110643530970767
6.439350371100098,44,1331,1,1,0,0,2,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25764434417029
6.1092475827643655,69,1327,1,1,1,0,2,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.423757829309761
5.14166355650266,59,1322,1,0,1,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.368552825220245
5.087596335232384,46,1320,1,1,0,0,0,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.905442527870126
5.4638318050256105,32,1319,1,1,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.381941638258771
4.787491742782046,49,1314,1,1,0,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.984187872396904
5.707110264748875,45,1311,0,0,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.32919103122587
6.728628613084702,51,1309,1,1,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.261445783909799
6.052089168924417,41,1308,1,1,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.411558614092446
7.095893221097532,51,1307,1,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.715749561448666
5.147494476813453,72,1306,1,1,1,2,6,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.551669832696188
6.684611727667927,115,1300,1,1,1,0,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.788825131846558
5.402677381872279,60,1295,1,1,0,0,2,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0974588088285
5.068904202220232,41,1288,1,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57501842708326
5.948034989180646,56,1272,1,0,1,0,6,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.461593158912857
5.247024072160486,40,1298,1,1,2,0,5,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.980971365405693
5.231108616854587,61,1290,1,0,1,0,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.518861254098956
6.333279628139691,51,1277,1,1,1,0,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.768725082952503
7.652545692693921,45,1271,2,1,1,0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.849272036421758
4.941642422609304,54,1264,1,0,0,0,3,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84692093240427
5.017279836814924,47,1258,1,0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.028083521299964
6.089044875446846,41,1257,1,0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.119323978278311
6.565264970035361,75,1255,1,0,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.049134058673179
5.746203190540153,37,1254,0,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.89876105471187
6.171700597410915,42,1253,0,0,1,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.017997984665152
5.648974238161206,55,1252,1,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.226592742142705
6.073044534100405,49,1251,1,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32183111545157
5.811140992976701,51,1250,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.528657779867425
6.659293919683638,53,1249,1,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8997365662547505
5.583496308781699,65,1248,1,1,0,0,6,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.182311407205789
